Track,Artist,Listeners,Playcount,Album,Tags,URL
Flowers,Miley Cyrus,992479,13245332,Flowers,"['pop', '2023', 'Disco', 'soft rock', '2020s']",https://www.last.fm/music/Miley+Cyrus/_/Flowers
the perfect pair,beabadoobee,1007659,18895867,N/A,"['Bossa Nova', 'bedroom pop', 'chillout', 'seen live', 'indie']",https://www.last.fm/music/beabadoobee/_/The+Perfect+Pair
Story of My Life,One Direction,979116,7898444,Story of My Life,"['pop', 'story of my life', 'one direction', 'love at first listen', 'british']",https://www.last.fm/music/One+Direction/_/Story+of+My+Life
Save Your Tears,The Weeknd,1475107,21643151,Hit Connection 2021.1,"['synthpop', 'pop', 'rnb', 'synthwave', 'MySpotigramBot']",https://www.last.fm/music/The+Weeknd/_/Save+Your+Tears
Streets,Doja Cat,1118518,16448741,Hot Pink,"['rnb', '2010s', '2019', 'sexy', 'love at first listen']",https://www.last.fm/music/Doja+Cat/_/Streets
Believer,Imagine Dragons,1029359,9918814,Evolve,"['rock', 'pop rock', '2017', 'pop', 'alternative']",https://www.last.fm/music/Imagine+Dragons/_/Believer
Set Fire to the Rain,Adele,1721749,17635036,21,"['soul', 'Adele', 'female vocalists', 'pop', 'british']",https://www.last.fm/music/Adele/_/Set+Fire+to+the+Rain
Attention,NewJeans,652161,18174773,New Jeans,"['k-pop', 'contemporary rnb', 'dance-pop', 'rnb', 'pop']",https://www.last.fm/music/NewJeans/_/Attention
きらり,Fujii Kaze,159794,1399323,N/A,['j-pop'],https://www.last.fm/music/fujii+kaze/_/%E3%81%8D%E3%82%89%E3%82%8A
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Playboi Carti, Madonna",12538,83065,N/A,[],"https://www.last.fm/music/The+Weeknd,+Playboi+Carti,+Madonna/_/Popular+(with+Playboi+Carti+&+Madonna)+-+From+The+Idol+Vol.+1+(Music+from+the+HBO+Original+Series)"
Too Good At Goodbyes,Sam Smith,680221,5697665,Too Good at Goodbyes,"['pop', 'Ballad', 'british', 'singer-songwriter', '2017']",https://www.last.fm/music/Sam+Smith/_/Too+Good+at+Goodbyes
Somebody's Pleasure,Aziz Hedra,38529,320849,Somebody's Pleasure - Single,[],https://www.last.fm/music/Aziz+Hedra/_/Somebody%27s+Pleasure
Judas,Lady Gaga,1368133,21127798,Born This Way,"['pop', 'dance', 'Lady Gaga', 'epic', 'catchy as fuck']",https://www.last.fm/music/Lady+Gaga/_/Judas
Say You Won't Let Go,James Arthur,773606,7082282,Back from the Edge,"['pop', 'british', '2010s', 'folk', 'UK']",https://www.last.fm/music/James+Arthur/_/Say+You+Won%27t+Let+Go
Beautiful Things,Benson Boone,663805,6514646,Beautiful Things,"['pop', 'pop rock', 'black metal', 'emo', 'american']",https://www.last.fm/music/Benson+Boone/_/Beautiful+Things
CHIHIRO,Billie Eilish,1123530,19985898,HIT ME HARD AND SOFT,"['alt-pop', 'psychedelic pop', 'deep house', 'peter', '2024']",https://www.last.fm/music/Billie+Eilish/_/CHIHIRO
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1072966,15302351,N/A,"['singer-songwriter', 'Soundtrack', 'pop', 'sad', 'female vocalists']",https://www.last.fm/music/Billie+Eilish/_/What+Was+I+Made+For%3F+%5BFrom+The+Motion+Picture+%22Barbie%22%5D
ETA,NewJeans,621328,17217505,Get Up,"['baltimore club', 'pop', 'k-pop', '2023', 'catchy']",https://www.last.fm/music/NewJeans/_/ETA
Bubble Gum,NewJeans,260829,4464824,How Sweet,"['Awesome', 'rnb', 'Favorite', 'fav', 'synth funk']",https://www.last.fm/music/NewJeans/_/Bubble+Gum
It Will Rain,Bruno Mars,866253,7287660,It Will Rain,"['pop', 'Love', 'soul', 'Bruno Mars', 'Soundtrack']",https://www.last.fm/music/Bruno+Mars/_/It+Will+Rain
The Nights,Avicii,871586,7964724,The Days / Nights,"['dance', 'electronic', 'pop', '2015', '2014']",https://www.last.fm/music/Avicii/_/The+Nights
Skyfall,Adele,1012778,9761956,Film Music 2012,"['Soundtrack', 'pop', 'james bond', 'female vocalists', 'Adele']",https://www.last.fm/music/Adele/_/Skyfall
West Coast,Lana Del Rey,1453729,24766425,Ultraviolence,"['alternative', 'pop', 'love at first listen', 'indie', 'female vocalists']",https://www.last.fm/music/Lana+Del+Rey/_/West+Coast
Danza Kuduro,"Don Omar, Lucenzo",32594,337095,Ultimate Feeling,"['dance', 'party', 'ost', '2011', '5 Stars']",https://www.last.fm/music/Don+Omar+Feat.+Lucenzo/_/Danza+Kuduro
Lady Killers II,G-Eazy,200552,1578887,Lady Killers II (Slowed Remix) - Single,"['Hip-Hop', 'remix', 'pop rap', 'cloud rap', 'G Artist']",https://www.last.fm/music/G-Eazy/_/Lady+Killers+II
Atlantis,Seafret,619782,6875654,Tell Me It's Real (Deluxe),"['british', 'duo', 'numetal', 'd', '2015 single']",https://www.last.fm/music/Seafret/_/Atlantis
Call Me Maybe,Carly Rae Jepsen,1853408,15954444,Kiss,"['pop', 'dance', 'female vocalists', 'Canadian', 'Carly Rae Jepsen']",https://www.last.fm/music/Carly+Rae+Jepsen/_/Call+Me+Maybe
Car's Outside,James Arthur,278723,2867194,You,[],https://www.last.fm/music/James+Arthur/_/Car%27s+Outside
Rewrite The Stars (with James Arthur & Anne-Marie),"James Arthur, Anne-Marie",4262,21591,N/A,[],"https://www.last.fm/music/James+Arthur,+Anne-Marie/_/Rewrite+The+Stars+(with+James+Arthur+&+Anne-Marie)"
Reflections,The Neighbourhood,834133,12222575,The Neighbourhood,"['electropop', 'indie', 'indie pop', 'indietronica', 'rnb']",https://www.last.fm/music/The+Neighbourhood/_/Reflections
LUNCH,Billie Eilish,1261197,19452792,N/A,"['pop rock', '2024', 'pop', 'alternative dance', 'peter']",https://www.last.fm/music/Billie+Eilish/_/Lunch
