Track,Artist,Listeners,Playcount
Belong Together,Mark Ambor,279152,1936346
Ribs,Lorde,1392748,23635194
No Face,Drake,194250,1398136
Miles On It,"Marshmello, Kane Brown",1780,9603
Guy For That (Feat. Luke Combs),"Post Malone, Luke Combs",1816,14650
Lies,BIGBANG,53394,412145
如果爱忘了 - Live,"Silence Wang, 單依純",27,274
Budapest,George Ezra,878886,7315867
IF YOU,BIGBANG,112740,1124304
SOBER,BIGBANG,102273,1044897
Are You With Me,Lost Frequencies,270485,1925494
LAST DANCE,BIGBANG,79268,679493
Chicago Freestyle (feat. Giveon),"Drake, GIVĒON",220,453
Somedays,"Sonny Fodera, Jazzy, D.O.D",817,3757
Who (Rock Remix),Jimin,46671,2087247
ハッピーエンド,back number,19541,205621
Disenchanted,My Chemical Romance,655006,6328474
Carry You Home,Alex Warren,128999,989836
Lovers,Anna of the North,190007,1473730
You,"Lloyd, Lil Wayne",2929,13867
Cinta Luar Biasa,Andmesh,12555,88936
我会等,承桓,14700,170344
The Kids Aren't Alright,The Offspring,1583707,13868292
Dial Drunk (with Post Malone),"Noah Kahan, Post Malone",4709,39981
Ni**as In Paris,"JAY-Z, Kanye West",52320,454294
高嶺の花子さん,back number,27542,265529
Champagne Coast,Blood Orange,564371,7458155
Where's My Love,SYML,523827,4594719
青と夏,Mrs. GREEN APPLE,42103,336207
Sweet Disposition,The Temper Trap,1343155,13452965
Drive By,Train,848630,6702574
カーテンコール,Yuuri,19268,169568
Work Song,Hozier,792573,9500496
Breezeblocks,alt-J,1380072,16990402
Valerie (feat. Amy Winehouse) - Version Revisited,"Mark Ronson, Amy Winehouse",8031,36559
Overdrive (feat. Norma Jean Martine),"Ofenbach, Norma Jean Martine",2458,15689
風神,Vaundy,13292,56043
Circadian Rhythm,Drake,177045,1451534
كلام عينيه,Sherine,72826,1002021
It Won't Stop (feat. Chris Brown) - EP Version,"Sevyn Streeter, Chris Brown",871,4167
Stolen Dance,Milky Chance,1125352,11000831
Who (Acoustic Remix),Jimin,40603,1965479
Drowning,WOODZ,57153,1054279
水平線,back number,29683,222134
Pesan Terakhir,Lyodra,17381,1519987
How Do I Breathe,Mario,350476,1304821
感谢你曾来过,"阿涵, Ayo97",116,1134
晴天,Jay Chou,21466,226253
さよーならまたいつか！- Sayonara,Kenshi Yonezu,27808,249832
Janji Setia,Tiara Andini,11244,249254
Can't Get You out of My Head,Kylie Minogue,1308401,10090362
My Way,Calvin Harris,539371,3481492
Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",7582,31481
Cry,Benson Boone,165271,1146838
ケセラセラ,Mrs. GREEN APPLE,23286,156055
Dreams,The Cranberries,1267039,10018280
Dog Days Are Over,Florence + The Machine,1991448,22027758
Always Be My Baby,Mariah Carey,555949,4006746
字字句句,卢卢快闭嘴,10438,102730
My Name is Malguem,QWER,14170,151283
Who (Funky Remix),Jimin,33163,1661684
You’re Gonna Go Far,Noah Kahan,305442,4945541
Titanium (feat. Sia),"David Guetta, Sia",1300493,9760007
从前说,小阿七,9988,96292
familie,Mrs. GREEN APPLE,13144,67695
Who (Shibuyakei Remix),Jimin,33445,1700604
アイネクライネ,Kenshi Yonezu,8019,97971
Yebba’s Heartbreak,"Drake, Yebba",11840,90508
So Into You,Tamia,192438,1305124
擱淺,Jay Chou,11508,102641
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",Eric Carmen,225980,1130905
花占い,Vaundy,31919,240627
花束,back number,17396,158961
Tak Segampang Itu,Anggi Marito,21183,289375
Someone New,Hozier,776672,7633331
Before You Leave Me,Alex Warren,107927,856954
嚣张,en,14518,154080
Summer Of '69,Bryan Adams,1141568,7269840
HAPPY BIRTHDAY,back number,11814,95798
LUNA,"Feid, ATL Jacob",4612,38686
Never Going Home Tonight (feat. Madison Love),"David Guetta, Alesso, Madison Love",1099,4293
Who (Instrumental),Jimin,29306,1613130
I wonder,Da-iCE,13513,77224
Chammak Challo,"Akon, Hamsika Iyer",1589,19157
Terasa Ada,Sufian Suhaimi,2768,21344
Meet Me Halfway,Black Eyed Peas,1238909,10965659
Headlines,Drake,779541,9306120
Prayer in C - Robin Schulz Radio Edit,"Lilly Wood and The Prick, Robin Schulz",2461,7817
感電,Kenshi Yonezu,52886,450630
Memories (feat. Kid Cudi),"David Guetta, Kid Cudi",1091099,8497426
幾億光年,Omoinotake,15736,117113
Magic,Mrs. GREEN APPLE,19572,131033
Waves - Robin Schulz Radio Edit,"Mr. Probz, Robin Schulz",2929,11651
Vai Lá - Ao Vivo em Goiânia,Maiara & Maraisa,28742,151255
Sexy Love,Ne-Yo,469845,2078196
Runtuh,"Feby Putri, Fiersa Besari",1109,7983
Mela!,Ryokuoushoku Shakai,32658,281271
Hate It Or Love It,"The Game, 50 Cent",1210979,7781311
Drops of Jupiter (Tell Me),Train,483340,3544346
新しい恋人達に,back number,8175,46643
Sunset Glow,BIGBANG,29235,204437
FLOWER ROAD,BIGBANG,39886,340217
愛とか恋とか,Novelbright,16757,98707
Intro,The xx,1483534,17813440
King,Olly Alexander (Years & Years),212379,1410253
"Soweto (with Don Toliver, Rema & Tempoe)","Victony, Rema, Tempoe, Don Toliver",1798,10416
Umaasa,Calein,76976,1086447
Wind Up Missin’ You,Tucker Wetmore,64721,437507
"愛, 很簡單",David Tao,4139,24599
Burning Down,Alex Warren,76834,555928
奏(かなで),Sukima Switch,7896,52162
Don't You Remember,Adele,712827,5172964
Replay,Tems,127699,833140
愛我還是他,David Tao,5233,29963
クリスマスソング,back number,15385,133327
Bawa Dia Kembali,Mahalini,9860,109215
U Got It Bad,USHER,515607,1911510
Karena Kamu,Geisha,7835,58309
コロンブス,Mrs. GREEN APPLE,9478,60585
Marvins Room,Drake,704660,7532573
ダンスホール,Mrs. GREEN APPLE,36217,278137
Higher,Tems,172640,1607888
Soranji,Mrs. GREEN APPLE,17539,121456
I Never Lie,Zach Top,36233,332023
Free Mind,Tems,149193,1345782
關鍵詞,JJ Lin,7555,56473
Love Me JeJe,Tems,122645,738339
君はロックを聴かない,Aimyon,21946,142922
9,Drake,298066,2646186
"Dia Masa Lalumu, Aku Masa Depanmu",Vionita,9483,112346
冬と春,back number,8731,60498
美しい鰭,SPITZ,21301,106620
Komang,Raim Laode,19434,191715
WE PRAY - Single Version,"Coldplay, Little Simz, Burna Boy, Elyanna, TINI",344,1479
ใจพัง,"Saran, GTK",11,35
Promethazine,"Saran, BlackHeart, Pondering",10,41
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",59235,544734
Not Like Us,Kendrick Lamar,1498716,21204486
All The Stars (with SZA),"Kendrick Lamar, SZA",28476,204114
nuts,"Lil Peep, rainy bear",12543,159797
See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth",10279,44481
Baby By Me,"50 Cent, Ne-Yo",247088,2049116
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",18245,116420
Don't,Bryson Tiller,874459,11987545
HUMBLE.,Kendrick Lamar,1855027,23905073
Low Life (feat. The Weeknd),"Future, The Weeknd",7724,52070
Money Trees,"Kendrick Lamar, Jay Rock",1685073,26154096
What You Know Bout Love,Pop Smoke,560426,6186853
LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari",24081,167643
Pink + White,Frank Ocean,1961611,45363951
Say It,Tory Lanez,422089,4230496
Without Me,Eminem,1890933,16131330
20 Min,Lil Uzi Vert,955575,17096164
Love The Way You Lie,"Eminem, Rihanna",1375932,10375006
BABY I'M BACK,The Kid LAROI,175890,1986208
Mockingbird,Eminem,1386879,11256218
KEHLANI,Jordan Adetunji,312434,3021941
Like That,"Future, Metro Boomin, Kendrick Lamar",26171,291155
NIGHTS LIKE THIS,The Kid LAROI,652020,10250339
Hope,XXXTENTACION,705526,8792415
Fuck Love,"XXXTENTACION, Trippie Redd",15998,119018
ГЛАМУР,"uniqe, nkeeei, ARTEM SHILOVETS, Wipo",920,8100
Everybody Dies In Their Nightmares,XXXTENTACION,818982,10881282
Big Dawgs,"Hanumankind, Kalmi",6377,59130
Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti",15015,144908
Thinkin Bout You,Frank Ocean,1822566,27381640
Low (feat. T-Pain),"Flo Rida, T-Pain",1098890,5093235
"Me, Myself & I","G-Eazy, Bebe Rexha",9828,57157
X (feat. Maluma & Ozuna) - Remix,"Nicky Jam, J Balvin, Maluma, Ozuna",813,4853
redrum,21 Savage,717904,7994200
Moonlight,XXXTENTACION,889251,9944656
fukumean,Gunna,789052,11132834
Sprinter,"Dave, Central Cee",12134,106605
Feel Good Inc.,Gorillaz,2980381,31883391
The Real Slim Shady,Eminem,1856325,14074895
Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",11398,70365
Gang Baby,NLE Choppa,191795,1747698
EARFQUAKE,"Tyler, The Creator",1684200,29749322
Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake, Sexyy Red, SZA",8535,59134
Falling Down - Bonus Track,"Lil Peep, XXXTENTACION",13224,97918
PRIDE.,Kendrick Lamar,1440438,24588058
Mask Off,Future,1027469,9569230
Jocelyn Flores,XXXTENTACION,1000579,13360148
Trust Issues,Drake,435777,5080154
Alright,Kendrick Lamar,1520364,23688657
Superman,"Eminem, Dina Rae",989406,7750996
Sky,Playboi Carti,1042456,20689071
DNA.,Kendrick Lamar,1423909,19031289
on one tonight,Gunna,374282,3587977
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","Ty Dolla $ign, The Weeknd, Wiz Khalifa, Mustard",5626,32213
Ivy,Frank Ocean,1504343,32901991
Lose Yourself,Eminem,1558979,10901787
Still D.R.E.,"Dr. Dre, Snoop Dogg",1520109,9055323
DJ Got Us Fallin' In Love (feat. Pitbull),"USHER, Pitbull",857508,5520830
No Role Modelz,J. Cole,1323618,19772651
Heartless,Kanye West,2378889,25701694
In Da Club,50 Cent,1873029,10394105
On Melancholy Hill,Gorillaz,1700703,18915772
one of wun,Gunna,434301,4661311
euphoria,Kendrick Lamar,884860,11280041
California Love - Original Version,"2Pac, Roger, Dr. Dre",11053,57899
I Wonder,Kanye West,1583195,24209798
This Could Be Us,Rae Sremmurd,588204,4767357
Gangsta's Paradise,"Coolio, L.V.",1540519,10761105
Praise The Lord (Da Shine) (feat. Skepta),"A$AP Rocky, Skepta",20048,136915
Flashing Lights,"Kanye West, Dwele",1722778,26776197
Bound 2,Kanye West,1540340,23522527
Trap Queen,Fetty Wap,852757,6395718
family ties (with Kendrick Lamar),"Baby Keem, Kendrick Lamar",20722,189254
Drip Too Hard (Lil Baby & Gunna),"Lil Baby, Gunna",6662,40532
XO Tour Llif3,Lil Uzi Vert,1193764,18860621
LOYALTY. FEAT. RIHANNA.,"Kendrick Lamar, Rihanna",21522,152326
Glock In My Lap,"21 Savage, Metro Boomin",17903,123586
Father Stretch My Hands Pt. 1,Kanye West,1445508,29381940
Hit 'Em Up - Single Version,"2Pac, Outlawz",12294,75980
WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",8043,49584
ball w/o you,21 Savage,755118,11723722
Lost,Frank Ocean,1623548,24471608
International Love (feat. Chris Brown),"Pitbull, Chris Brown",568,1671
Till I Collapse,"Eminem, Nate Dogg",635516,4609498
The Monster,"Eminem, Rihanna",902271,6302871
