id,track_name,artist,album,popularity,release_date,spotify_url,Genre
2O4Bb2WCkjlTPO827OnBMI,EASY,LE SSERAFIM,EASY,72,2024-02-19,https://open.spotify.com/track/2O4Bb2WCkjlTPO827OnBMI,pop
1QV6tiMFM6fSOKOGLMHYYg,Poker Face,Lady Gaga,The Fame,79,2008-01-01,https://open.spotify.com/track/1QV6tiMFM6fSOKOGLMHYYg,pop
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,d4vd,Romantic Homicide,81,2022-07-20,https://open.spotify.com/track/1xK59OXxi2TAAAbmZK0kBL,pop
1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,"The Weeknd, Gesaffelstein","My Dear Melancholy,",79,2018-03-30,https://open.spotify.com/track/1cKHdTo9u0ZymJdPGSh6nq,pop
5ocSQW5sIUIOFojwXEz9Ki,Supernatural,NewJeans,Supernatural,73,2024-06-21,https://open.spotify.com/track/5ocSQW5sIUIOFojwXEz9Ki,pop
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,82,2019-05-17,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,pop
1odExI7RdWc4BT515LTAwj,Daylight,David Kushner,Daylight,78,2023-04-14,https://open.spotify.com/track/1odExI7RdWc4BT515LTAwj,pop
0OpC8hRrbsh24taKOsQBEX,Real Man,beabadoobee,This Is How Tomorrow Moves,81,2024-08-09,https://open.spotify.com/track/0OpC8hRrbsh24taKOsQBEX,pop
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,x (Deluxe Edition),79,2014-06-21,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f,pop
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,83,2008-06-06,https://open.spotify.com/track/1mea3bSkSGXuIRvnydlB5b,pop
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,"My Dear Melancholy,",80,2018-03-30,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN,pop
3dI59jLoFMjMAyUAyRZnkE,BANG BANG BANG,BIGBANG,MADE,76,2016-12-13,https://open.spotify.com/track/3dI59jLoFMjMAyUAyRZnkE,pop
7hDVYcQq6MxkdJGweuCtl9,ocean eyes,Billie Eilish,dont smile at me,80,2017-12-22,https://open.spotify.com/track/7hDVYcQq6MxkdJGweuCtl9,pop
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),"Billie Eilish, Khalid",lovely (with Khalid),83,2018-04-19,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,pop
21B4gaTWnTkuSh77iWEXdS,Juno,Sabrina Carpenter,Short n' Sweet,82,2024-08-23,https://open.spotify.com/track/21B4gaTWnTkuSh77iWEXdS,pop
1NZs6n6hl8UuMaX0UC0YTz,Brooklyn Baby,Lana Del Rey,Ultraviolence (Deluxe),78,2014-01-01,https://open.spotify.com/track/1NZs6n6hl8UuMaX0UC0YTz,pop
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,Endless Summer Vacation,83,2023-08-18,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0,pop
41P6Tnd8KIHqON0QIydx6a,the perfect pair,beabadoobee,Beatopia,81,2022-07-15,https://open.spotify.com/track/41P6Tnd8KIHqON0QIydx6a,pop
4nVBt6MZDDP6tRVdQTgxJg,Story of My Life,One Direction,Midnight Memories (Deluxe),81,2013-11-25,https://open.spotify.com/track/4nVBt6MZDDP6tRVdQTgxJg,pop
5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,After Hours,81,2020-03-20,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,pop
60ynsPSSKe6O3sfwRnIBRf,Streets,Doja Cat,Hot Pink,79,2019-11-07,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf,pop
0pqnGHJpmpxLKifKRmU6WP,Believer,Imagine Dragons,Evolve,82,2017-06-23,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,pop
3di5hcvxxciiqwMH1jarhY,Set Fire to the Rain,Adele,21,78,2011-01-24,https://open.spotify.com/track/3di5hcvxxciiqwMH1jarhY,pop
2pIUpMhHL6L9Z5lnKxJJr9,Attention,NewJeans,NewJeans 1st EP 'New Jeans',71,2022-08-01,https://open.spotify.com/track/2pIUpMhHL6L9Z5lnKxJJr9,pop
51oc6MEsXTpnPn6GOw5VuP,きらり,Fujii Kaze,Kirari Remixes (Asia Edition),66,2022-01-14,https://open.spotify.com/track/51oc6MEsXTpnPn6GOw5VuP,pop
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Playboi Carti, Madonna",Popular (Music from the HBO Original Series),78,2023-06-02,https://open.spotify.com/track/6WzRpISELf3YglGAh7TXcG,pop
1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,Sam Smith,The Thrill Of It All (Special Edition),78,2017-11-03,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,pop
3e1rs346dsDDwpqTRGlRZR,Somebody's Pleasure,Aziz Hedra,Somebody's Pleasure,69,2023-01-27,https://open.spotify.com/track/3e1rs346dsDDwpqTRGlRZR,pop
7F25roCtYi55JouckaayPC,Judas,Lady Gaga,Born This Way (International Special Edition Version),77,2011-05-23,https://open.spotify.com/track/7F25roCtYi55JouckaayPC,pop
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,Back from the Edge,80,2016-10-28,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,pop
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,Fireworks & Rollerblades,85,2024-04-05,https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii,pop
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,85,2024-05-17,https://open.spotify.com/track/7BRD7x5pt8Lqa1eGYC4dzj,pop
6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",82,2023-07-13,https://open.spotify.com/track/6wf7Yu7cxBSPrRlWeSeK0Q,pop
56v8WEnGzLByGsDAXDiv4d,ETA,NewJeans,NewJeans 2nd EP 'Get Up',73,2023-07-21,https://open.spotify.com/track/56v8WEnGzLByGsDAXDiv4d,pop
19D8LNpWwIPpi6hs9BG7dq,Bubble Gum,NewJeans,How Sweet,69,2024-05-24,https://open.spotify.com/track/19D8LNpWwIPpi6hs9BG7dq,pop
0M3HkE321xpCbCYqVKzr1q,It Will Rain,Bruno Mars,It Will Rain,78,2011-09-28,https://open.spotify.com/track/0M3HkE321xpCbCYqVKzr1q,pop
0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,The Days / Nights,80,2014-01-01,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc,pop
6VObnIkLVruX4UVyxWhlqm,Skyfall,Adele,Skyfall,80,2012-10-04,https://open.spotify.com/track/6VObnIkLVruX4UVyxWhlqm,pop
5Y6nVaayzitvsD5F7nr3DV,West Coast,Lana Del Rey,Ultraviolence (Deluxe),78,2014-01-01,https://open.spotify.com/track/5Y6nVaayzitvsD5F7nr3DV,pop
2a1o6ZejUi8U3wzzOtCOYw,Danza Kuduro,"Don Omar, Lucenzo",Meet The Orphans,77,2010-01-01,https://open.spotify.com/track/2a1o6ZejUi8U3wzzOtCOYw,pop
068AyhyvE67qMRsMXLqAnd,Lady Killers II,G-Eazy,Lady Killers II,76,2024-03-17,https://open.spotify.com/track/068AyhyvE67qMRsMXLqAnd,pop
1Fid2jjqsHViMX6xNH70hE,Atlantis,Seafret,Tell Me It's Real (Expanded Edition),79,2016-01-29,https://open.spotify.com/track/1Fid2jjqsHViMX6xNH70hE,pop
20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,Carly Rae Jepsen,Kiss,77,2012-01-01,https://open.spotify.com/track/20I6sIOMTCkB6w7ryavxtO,pop
0otRX6Z89qKkHkQ9OqJpKt,Car's Outside,James Arthur,YOU,77,2019-10-18,https://open.spotify.com/track/0otRX6Z89qKkHkQ9OqJpKt,pop
